||Focal |Max.|Min.|Image |4x5in|4x5in|4x5in|4x5in|4x5 Front|4x5 Front|4x5in|Angle|Shtr|Wt.|Wt.|Filt.|Street|Center
Maker|Model|Lngth|Apert.|Apert.|Circle @|Excess|Excess|Max. Rise|Max. Rise|Tilt Deg.|Tilt Deg.|Equiv.|of|Size|(g)|(lb)|Size |Price|Filter
||(mm)|||f/22|Covg.|Cvrg %|Landscp|Portrait|Landscp|Portrait|to 35|Cvrg||||(mm)||Price
Schneider|APO-Symmar |100|f/5.6|f/64|145|-8.7|-6.00|0.00|0.00|0.00|0.00|25|72|0|165|0.36|40.5|$556.95| 
Fuji|Fujinon SW|105|f/8|f/45|250|96.3|38.52|61.66|55.42|30.42|27.82|26|100|0|570|1.26|77|$1,195.00| 
Fuji|Fujinon CM-W|105|f/5.6|f/45|174|20.3|11.67|15.00|12.56|8.13|6.82|26|78|0|220|0.49|67|$645.00| 
Nikon|Nikkor W|105|f/5.6|f/45|155|1.3|0.84|1.05|0.85|0.57|0.46|26|73|0|185|0.41|52|$499.95| 
Schneider|Super-Symmar XL|110|f/5.6|f/45|288|134.3|46.63|82.90|75.76|37.00|34.56|28|105|1|425|0.94|67|$1,669.00|$429.95
Rodenstock|Grandagon N|115|f/6.8|f/45|291|137.3|47.18|84.55|77.35|36.32|33.93|29|104|1|740|1.63|82|$1,444.95|$576.00
Nikon|Nikkor SW |120|f/8|f/64|312|158.3|50.74|96.00|88.43|38.66|36.39|30|105|0|610|1.34|77|$1,129.95| 
Schneider|Super-Angulon|120|f/8|f/64|288|134.3|46.63|82.90|75.76|34.64|32.27|30|100|0|700|1.54|82|$1,386.00|$474.95
Schneider|Super-Symmar HM|120|f/5.6|f/64|211|57.3|27.16|38.78|33.95|17.91|15.80|30|82|0|370|0.82|67|$1,269.00| 
Schneider|APO-Symmar |120|f/5.6|f/64|179|25.3|14.13|18.41|15.54|8.72|7.38|30|72|0|200|0.44|49|$652.00| 
Fuji|Fujinon SW|125|f/8|f/45|280|126.3|45.11|78.49|71.51|32.13|29.77|31|96|0|745|1.64|82|$1,195.00| 
Fuji|Fujinon CM-W|125|f/5.6|f/64|204|50.3|24.66|34.49|30.00|15.42|13.50|31|78|0|265|0.58|67|$645.00| 
Fuji|Fujinon CM-W|135|f/5.6|f/64|214|60.3|28.18|40.59|35.63|16.74|14.78|34|76|0|270|0.60|67|$695.00| 
Rodenstock|APO-Sironar S|135|f/5.6|f/64|208|54.3|26.11|36.95|32.26|15.31|13.44|34|75|0|240|0.53|49|$639.00| 
